name,size,percent_used,index_scans,seq_scans,unused
public.idx_menus_status,16 kB,0%,0,0,t
public.events_pkey,16 kB,100%,75794,0,f
public.idx_system_ingredients_name_trgm,16 kB,0%,0,0,t
public.idx_inquiry_transitions_date,16 kB,0%,0,0,t
public.idx_quote_transitions_quote_id,16 kB,100%,8,0,f
public.idx_cal_entries_public,16 kB,0%,0,0,t
public.idx_seasonal_palettes_dates,16 kB,100%,14196,0,f
public.idx_wix_submissions_tenant,16 kB,100%,2869,0,f
public.referral_partners_share_token_key,16 kB,0%,0,0,t
public.idx_owner_obs_hub_messages_group_created,16 kB,0%,0,0,t
public.idx_event_stubs_creator,16 kB,0%,0,0,t
public.idx_clients_tenant_status,16 kB,100%,64,0,f
public.chef_calendar_entries_pkey,16 kB,100%,1,0,f
public.idx_recipes_tenant_name,16 kB,100%,29051,0,f
public.unique_chef_wix,16 kB,100%,2,0,f
public.idx_chef_preferences_revenue_goal_enabled,16 kB,100%,23832,0,f
public.beta_signups_pkey,16 kB,0%,0,0,t
public.idx_commlog_content_search,16 kB,0%,0,0,t
public.idx_quotes_status,16 kB,100%,51,0,f
public.idx_event_floor_plans_chef_id,16 kB,100%,1,0,f
public.idx_client_reviews_client,16 kB,100%,176,0,f
public.idx_events_source_session_id,16 kB,100%,13,0,f
public.inquiries_decline_reason_idx,16 kB,100%,158,0,f
public.idx_notifications_recipient_unread,16 kB,0%,0,0,t
public.idx_messages_event,16 kB,100%,111,0,f
public.fine_tuning_examples_tenant_idx,16 kB,100%,15,0,f
public.idx_ai_queue_worker_poll,16 kB,0%,0,0,t
public.staff_members_pkey,16 kB,100%,453,0,f
public.idx_hub_guest_profiles_client,16 kB,100%,706,0,f
public.idx_referral_partners_auth_user,16 kB,100%,285,0,f
public.recipes_pkey,16 kB,100%,103,0,f
public.idx_events_client_id,16 kB,100%,144334,0,f
public.idx_clients_tenant,16 kB,0%,0,0,t
public.idx_remy_memories_client,16 kB,0%,0,0,t
public.idx_referral_partners_status,16 kB,100%,2709,0,f
public.idx_conversation_threads_starred,16 kB,100%,1538,0,f
public.rebook_tokens_pkey,16 kB,0%,0,0,t
public.idx_menu_transitions_tenant_id,16 kB,100%,17,0,f
public.cannabis_host_agreements_host_version_key,16 kB,100%,117,0,f
public.idx_ledger_entries_entry_type,16 kB,100%,67,0,f
public.idx_remy_messages_tenant,16 kB,100%,58,0,f
public.idx_hub_guest_profiles_token,16 kB,100%,200,0,f
public.idx_event_floor_plans_event_id,16 kB,0%,0,0,t
public.idx_rebook_tokens_event_id,16 kB,0%,0,0,t
public.clients_pkey,16 kB,100%,753201,0,f
public.idx_referral_partners_tenant,16 kB,0%,0,0,t
public.idx_client_reviews_tenant,16 kB,100%,1546,0,f
public.uq_threads_external_key,16 kB,100%,101,0,f
public.loyalty_config_pkey,16 kB,0%,0,0,t
public.idx_cannabis_host_agreements_host_user_id,16 kB,100%,47,0,f
public.idx_notifications_tenant,16 kB,100%,266,0,f
public.idx_event_themes_category,16 kB,0%,0,0,t
public.idx_events_tenant_date,16 kB,100%,156823,0,f
public.idx_inquiries_tenant_status,16 kB,100%,66790,0,f
public.hub_group_members_group_id_profile_id_key,16 kB,100%,4,0,f
public.idx_hub_messages_group_created,16 kB,100%,5,0,f
public.idx_recipes_tenant_id,16 kB,100%,2148,0,f
public.idx_historical_findings_received,16 kB,100%,79,0,f
public.idx_beta_signups_email,16 kB,100%,1,0,f
public.idx_system_ingredients_name,16 kB,0%,0,0,t
public.seasonal_palettes_pkey,16 kB,0%,0,0,t
public.idx_beta_signups_status,16 kB,0%,0,0,t
public.beta_signups_email_key,16 kB,100%,1,0,f
public.idx_remy_artifacts_tenant_created,16 kB,100%,24,0,f
public.idx_delivery_log_tenant_channel,16 kB,100%,2,0,f
public.idx_register_sessions_tenant_opened,16 kB,100%,157,0,f
public.register_sessions_pkey,16 kB,100%,11,0,f
public.idx_events_guest_code,16 kB,100%,29,0,f
public.chef_activity_log_pkey,16 kB,0%,0,0,t
public.idx_clients_auth_user,16 kB,100%,625,0,f
public.idx_quotes_inquiry_id,16 kB,100%,437,0,f
public.fine_tuning_examples_pkey,16 kB,0%,0,0,t
public.idx_event_stubs_status,16 kB,0%,0,0,t
public.communication_classification_rules_pkey,16 kB,0%,0,0,t
public.idx_comm_events_thread,16 kB,100%,91,0,f
public.menu_state_transitions_pkey,16 kB,0%,0,0,t
public.idx_followup_tenant_due,16 kB,100%,48,0,f
public.idx_inquiries_follow_up_due,16 kB,0%,0,0,t
public.inquiry_state_transitions_pkey,16 kB,0%,0,0,t
public.idx_hub_groups_visibility,16 kB,0%,0,0,t
public.quotes_pkey,16 kB,100%,2280,0,f
public.idx_inquiries_status,16 kB,100%,8,0,f
public.communication_action_log_pkey,16 kB,0%,0,0,t
public.quote_state_transitions_pkey,16 kB,0%,0,0,t
public.idx_seasonal_palettes_tenant,16 kB,0%,0,0,t
public.idx_inquiries_converted_to_event,16 kB,100%,122,0,f
public.idx_owner_obs_hub_groups_tenant_updated,16 kB,0%,0,0,t
public.prospect_scrub_sessions_pkey,16 kB,100%,9,0,f
public.event_cannabis_settings_event_id_key,16 kB,100%,265,0,f
public.idx_quotes_event_id,16 kB,100%,842,0,f
public.idx_social_media_assets_tags,16 kB,0%,0,0,t
public.idx_event_transitions_event_id,16 kB,100%,14,0,f
public.event_cannabis_settings_pkey,16 kB,0%,0,0,t
public.idx_threads_tenant_state,16 kB,100%,30,0,f
public.idx_wix_submissions_pending,16 kB,0%,0,0,t
public.idx_momentum_tenant,16 kB,100%,21,0,f
public.idx_followup_thread,16 kB,100%,124,0,f
public.cannabis_host_agreements_pkey,16 kB,0%,0,0,t
public.idx_inquiries_tac_stagnancy,16 kB,100%,1554,0,f
public.idx_remy_memories_dedup,16 kB,100%,166,0,f
public.idx_stations_chef,16 kB,100%,1074,0,f
public.idx_historical_findings_tenant,16 kB,0%,0,0,t
public.idx_clients_status,16 kB,0%,0,0,t
public.idx_events_event_series_id,16 kB,0%,0,0,t
public.idx_social_posts_platforms,16 kB,0%,0,0,t
public.idx_chef_preferences_chef_id,16 kB,100%,98873,0,f
public.chefs_pkey,16 kB,100%,429000,0,f
public.idx_clients_photo_permission,16 kB,100%,100645,0,f
public.idx_comm_events_tenant_timestamp,16 kB,100%,3,0,f
public.idx_clients_portal_access_token,16 kB,100%,22,0,f
public.idx_beta_survey_defs_type_active,16 kB,100%,11449,0,f
public.idx_dishes_tenant_id,16 kB,100%,289,0,f
public.daily_plan_dismissals_chef_id_item_key_dismissed_date_key,16 kB,100%,1,0,f
public.chefs_slug_key,16 kB,100%,334,0,f
public.chefs_email_key,16 kB,100%,1,0,f
public.chef_preferences_pkey,16 kB,0%,0,0,t
public.loyalty_config_tenant_unique,16 kB,0%,0,0,t
public.suggested_links_pkey,16 kB,0%,0,0,t
public.idx_delivery_log_notification,16 kB,100%,47,0,f
public.idx_chef_journeys_focus_tags,16 kB,0%,0,0,t
public.idx_quotes_client_id,16 kB,100%,2339,0,f
public.idx_inquiries_take_a_chef_lookup,16 kB,100%,5525,0,f
public.communication_events_pkey,16 kB,100%,162,0,f
public.idx_events_inquiry_id,16 kB,100%,111,0,f
public.menus_pkey,16 kB,100%,1101,0,f
public.idx_owner_obs_notifications_recipient_created,16 kB,0%,0,0,t
public.user_roles_auth_user_id_key,16 kB,100%,2449,0,f
public.notification_delivery_log_pkey,16 kB,0%,0,0,t
public.idx_loyalty_config_tenant,16 kB,100%,12558,0,f
public.idx_chef_social_posts_hashtags,16 kB,0%,0,0,t
public.idx_chef_connections_requester_accepted,16 kB,100%,1177,0,f
public.idx_hub_messages_author,16 kB,0%,0,0,t
public.remy_memories_pkey,16 kB,100%,25,0,f
public.mutation_idempotency_pkey,16 kB,0%,0,0,t
public.idx_events_tenant_id,16 kB,100%,39105,0,f
public.client_preferences_client_id_key,16 kB,0%,0,0,t
public.idx_client_preferences_tenant_id,16 kB,0%,0,0,t
public.uq_client_reviews_event,16 kB,100%,1292,0,f
public.chef_momentum_snapshots_tenant_id_snapshot_date_key,16 kB,100%,1,0,f
public.idx_menus_tenant_id,16 kB,100%,8012,0,f
public.idx_menu_templates_tenant,16 kB,100%,21,0,f
public.gmail_historical_findings_pkey,16 kB,0%,0,0,t
public.user_roles_pkey,16 kB,0%,0,0,t
public.idx_inquiries_converted,16 kB,0%,0,0,t
public.remy_messages_pkey,16 kB,0%,0,0,t
public.dishes_menu_id_course_number_key,16 kB,0%,0,0,t
public.messages_pkey,16 kB,0%,0,0,t
public.chef_momentum_snapshots_pkey,16 kB,0%,0,0,t
public.partner_locations_pkey,16 kB,0%,0,0,t
public.idx_messages_gmail_dedup,16 kB,0%,0,0,t
public.idx_dishes_menu_id,16 kB,100%,1090,0,f
public.simulation_runs_tenant_idx,16 kB,100%,5907,0,f
public.idx_ledger_entries_created_at,16 kB,100%,9260,0,f
public.idx_remy_memories_tenant_active_importance,16 kB,100%,65,0,f
public.idx_daily_plan_dismissals_chef_date,16 kB,100%,8973,0,f
public.idx_expenses_expense_date,16 kB,100%,3597,0,f
public.idx_cannabis_host_agreements_signed_at,16 kB,0%,0,0,t
public.notifications_pkey,16 kB,100%,154,0,f
public.idx_events_event_date,16 kB,100%,52721,0,f
public.idx_ledger_entries_tenant_event,16 kB,100%,14751,0,f
public.idx_google_connections_gmail_active,16 kB,0%,0,0,t
public.idx_menus_event_id,16 kB,100%,13455,0,f
public.stations_pkey,16 kB,100%,1,0,f
public.event_themes_pkey,16 kB,0%,0,0,t
public.idx_chefs_subscription_status,16 kB,0%,0,0,t
public.idx_chef_preferences_tenant_id,16 kB,100%,84,0,f
public.idx_clients_loyalty_points,16 kB,100%,2131,0,f
public.idx_clients_loyalty_tier,16 kB,0%,0,0,t
public.idx_ledger_entries_tenant_id,16 kB,100%,12165,0,f
public.unique_chef_google,16 kB,100%,2985,0,f
public.idx_threads_tenant_activity,16 kB,0%,0,0,t
public.idx_hub_groups_token,16 kB,100%,10,0,f
public.idx_remy_conversations_tenant_recent,16 kB,100%,60,0,f
public.idx_expenses_tenant_date,16 kB,100%,22399,0,f
public.rebook_tokens_token_key,16 kB,100%,8,0,f
public.idx_ledger_entries_client_id,16 kB,100%,28084,0,f
public.wix_submissions_pkey,16 kB,100%,1,0,f
public.idx_chef_activity_domain,16 kB,100%,134,0,f
public.ai_preferences_tenant_id_key,16 kB,100%,8261,0,f
public.ai_preferences_pkey,16 kB,0%,0,0,t
public.idx_expenses_is_business,16 kB,0%,0,0,t
public.idx_chefs_directory_approved,16 kB,0%,0,0,t
public.idx_referral_partners_type,16 kB,0%,0,0,t
public.idx_hub_guest_profiles_auth_user,16 kB,100%,753,0,f
public.dishes_pkey,16 kB,0%,0,0,t
public.idx_scrub_sessions_chef,16 kB,100%,146,0,f
public.simulation_runs_pkey,16 kB,100%,462,0,f
public.idx_dishes_menu_course,16 kB,100%,1085,0,f
public.platform_settings_pkey,16 kB,100%,19795,0,f
public.idx_remy_memories_tenant_category,16 kB,100%,59,0,f
public.idx_recipes_category,16 kB,0%,0,0,t
public.idx_cron_executions_executed,16 kB,100%,178,0,f
public.beta_survey_definitions_slug_key,16 kB,0%,0,0,t
public.idx_recipes_archived,16 kB,0%,0,0,t
public.idx_chef_activity_client,16 kB,100%,105,0,f
public.idx_menus_is_template,16 kB,0%,0,0,t
public.event_stubs_pkey,16 kB,100%,6,0,f
public.idx_events_status,16 kB,100%,2,0,f
public.chef_social_channels_pkey,16 kB,0%,0,0,t
public.client_preferences_pkey,16 kB,0%,0,0,t
public.expenses_pkey,16 kB,0%,0,0,t
public.idx_partner_locations_partner,16 kB,100%,901,0,f
public.idx_comm_events_status,16 kB,0%,0,0,t
public.remy_conversations_pkey,16 kB,100%,59,0,f
public.idx_messages_tenant,16 kB,100%,18626,0,f
public.idx_hub_groups_creator,16 kB,0%,0,0,t
public.idx_thread_reads_tenant,16 kB,100%,18,0,f
public.idx_inquiries_tenant,16 kB,100%,2671,0,f
public.idx_expenses_event_id,16 kB,100%,127913,0,f
public.idx_hub_group_members_profile,16 kB,100%,511,0,f
public.event_state_transitions_pkey,16 kB,0%,0,0,t
public.idx_staff_pin_per_tenant,16 kB,0%,0,0,t
public.ledger_entries_pkey,16 kB,0%,0,0,t
public.hub_guest_profiles_pkey,16 kB,100%,14,0,f
public.loyalty_rewards_pkey,16 kB,0%,0,0,t
public.idx_ledger_entries_event_id,16 kB,100%,148362,0,f
public.inquiries_pkey,16 kB,100%,4598,0,f
public.contact_submissions_pkey,16 kB,100%,2,0,f
public.idx_messages_inquiry,16 kB,100%,7357,0,f
public.ai_task_queue_pkey,16 kB,0%,0,0,t
public.haccp_plans_pkey,16 kB,0%,0,0,t
public.idx_ai_queue_type,16 kB,100%,20,0,f
public.clients_portal_access_token_key,16 kB,0%,0,0,t
public.cron_executions_pkey,16 kB,0%,0,0,t
public.idx_rebook_tokens_active_event,16 kB,100%,4,0,f
public.chef_preferences_chef_id_key,16 kB,100%,1136,0,f
public.seasonal_palettes_tenant_season,16 kB,0%,0,0,t
public.wix_connections_pkey,16 kB,0%,0,0,t
public.unique_historical_finding,16 kB,100%,61,0,f
public.idx_recipes_times_cooked,16 kB,100%,1,0,f
public.idx_menus_active_tenant_created_at,16 kB,100%,1363,0,f
public.idx_inquiry_transitions_inquiry,16 kB,100%,280,0,f
public.idx_events_tenant_status,16 kB,100%,121396,0,f
public.idx_inquiry_transitions_tenant,16 kB,100%,21,0,f
public.idx_event_collaborators_accepted,8192 bytes,100%,4917,0,f
public.idx_components_is_make_ahead,8192 bytes,0%,0,0,t
public.idx_sms_send_log_tenant_action,8192 bytes,100%,17,0,f
