name,size,percent_used,index_scans,seq_scans,unused
public.idx_seasonal_palettes_active,8192 bytes,100%,377,0,f
public.meal_prep_deliveries_pkey,8192 bytes,0%,0,0,t
public.idx_public_media_assets_approval,8192 bytes,0%,0,0,t
public.idx_chef_profiles_chef_id,8192 bytes,100%,17,0,f
public.task_completion_log_pkey,8192 bytes,0%,0,0,t
public.proposal_sections_pkey,8192 bytes,0%,0,0,t
public.idx_compliance_temp_alerts,8192 bytes,0%,0,0,t
public.idx_waste_logs_chef,8192 bytes,100%,1403,0,f
public.chef_backup_contacts_pkey,8192 bytes,0%,0,0,t
public.inquiry_recipe_links_pkey,8192 bytes,0%,0,0,t
public.idx_meal_prep_deliveries_client,8192 bytes,0%,0,0,t
public.chef_social_hashtags_pkey,8192 bytes,0%,0,0,t
public.idx_system_ingredients_active,8192 bytes,0%,0,0,t
public.idx_campaign_recipients_client,8192 bytes,100%,18,0,f
public.idx_staff_performance_chef,8192 bytes,100%,23,0,f
public.households_pkey,8192 bytes,0%,0,0,t
public.idx_social_media_assets_tenant_created,8192 bytes,100%,1355,0,f
public.idx_beta_survey_responses_role,8192 bytes,0%,0,0,t
public.idx_meal_prep_deliveries_program,8192 bytes,0%,0,0,t
public.idx_campaign_templates_chef,8192 bytes,100%,32,0,f
public.idx_modifier_assignments_chef,8192 bytes,0%,0,0,t
public.payroll_w2_summaries_pkey,8192 bytes,0%,0,0,t
public.devices_pkey,8192 bytes,0%,0,0,t
public.idx_gift_cards_tenant_status,8192 bytes,0%,0,0,t
public.idx_feedback_requests_tenant_client_id,8192 bytes,100%,260,0,f
public.uq_household_client,8192 bytes,0%,0,0,t
public.idx_workflow_steps_template,8192 bytes,0%,0,0,t
public.idx_task_completion_log_task,8192 bytes,0%,0,0,t
public.idx_truck_preorders_schedule,8192 bytes,0%,0,0,t
public.remy_feedback_pkey,8192 bytes,0%,0,0,t
public.event_guests_guest_token_key,8192 bytes,0%,0,0,t
public.chef_social_hashtags_tag_key,8192 bytes,0%,0,0,t
public.idx_automation_exec_log_tenant,8192 bytes,100%,21,0,f
public.idx_partner_images_partner,8192 bytes,0%,0,0,t
public.menu_preferences_event_id_key,8192 bytes,0%,0,0,t
public.idx_referral_partners_share_token,8192 bytes,0%,0,0,t
public.idx_permits_tenant_status,8192 bytes,0%,0,0,t
public.idx_guests_name,8192 bytes,100%,862,0,f
public.idx_remy_feedback_rating,8192 bytes,0%,0,0,t
public.packing_templates_pkey,8192 bytes,0%,0,0,t
public.retainers_pkey,8192 bytes,0%,0,0,t
public.idx_qol_metric_events_metric_created,8192 bytes,0%,0,0,t
public.idx_public_data_source_logs_source_fetched,8192 bytes,0%,0,0,t
public.idx_event_sales_tax_event,8192 bytes,100%,12,0,f
public.idx_sops_category,8192 bytes,0%,0,0,t
public.community_templates_pkey,8192 bytes,0%,0,0,t
public.cannabis_tier_invitations_token_key,8192 bytes,0%,0,0,t
public.payment_plan_installments_pkey,8192 bytes,0%,0,0,t
public.inventory_counts_pkey,8192 bytes,0%,0,0,t
public.idx_proposal_addons_chef,8192 bytes,100%,22,0,f
public.idx_referral_partners_invite_token,8192 bytes,0%,0,0,t
public.idx_loyalty_transactions_client,8192 bytes,100%,986,0,f
public.idx_meal_prep_deliveries_chef_date,8192 bytes,100%,1,0,f
public.chef_event_type_labels_pkey,8192 bytes,100%,1,0,f
public.idx_webhook_events_failed,8192 bytes,0%,0,0,t
public.social_stats_snapshots_unique,8192 bytes,0%,0,0,t
public.product_modifiers_pkey,8192 bytes,0%,0,0,t
public.idx_hub_messages_replies,8192 bytes,0%,0,0,t
public.idx_menus_showcase,8192 bytes,100%,18,0,f
public.bank_transactions_pkey,8192 bytes,0%,0,0,t
public.idx_guest_visits_guest,8192 bytes,0%,0,0,t
public.chef_handoff_recipients_pkey,8192 bytes,0%,0,0,t
public.retirement_contributions_pkey,8192 bytes,0%,0,0,t
public.idx_chef_bh_tenant,8192 bytes,100%,1448,0,f
public.beta_survey_invites_token_key,8192 bytes,0%,0,0,t
public.admin_audit_log_pkey,8192 bytes,0%,0,0,t
public.client_meal_prep_preferences_chef_id_client_id_key,8192 bytes,0%,0,0,t
public.idx_guest_photos_event,8192 bytes,100%,12,0,f
public.idx_commerce_schedules_event,8192 bytes,0%,0,0,t
public.idx_campaign_recipients_campaign,8192 bytes,0%,0,0,t
public.quote_selected_addons_pkey,8192 bytes,0%,0,0,t
public.bakery_par_stock_pkey,8192 bytes,0%,0,0,t
public.idx_devices_tenant,8192 bytes,0%,0,0,t
public.idx_workflow_templates_trigger,8192 bytes,0%,0,0,t
public.chef_network_feature_preferences_pkey,8192 bytes,0%,0,0,t
public.idx_vendor_catalog_import_rows_chef_status,8192 bytes,0%,0,0,t
public.idx_remy_approval_policies_tenant_enabled,8192 bytes,100%,1115,0,f
public.sss_chef_platform_date_idx,8192 bytes,100%,66,0,f
public.ingredient_shelf_life_defaults_tenant_id_ingredient_name_key,8192 bytes,0%,0,0,t
public.idx_chef_documents_folder,8192 bytes,0%,0,0,t
public.idx_copilot_runs_tenant_started,8192 bytes,100%,17,0,f
public.bakery_batches_pkey,8192 bytes,0%,0,0,t
public.idx_chef_journey_entries_tenant_highlights,8192 bytes,0%,0,0,t
public.idx_ppi_tenant,8192 bytes,100%,489,0,f
public.chef_business_health_items_tenant_id_item_key_key,8192 bytes,0%,0,0,t
public.uq_external_review_source_label,8192 bytes,0%,0,0,t
public.public_ingredient_references_lookup_key_key,8192 bytes,0%,0,0,t
public.public_data_source_logs_pkey,8192 bytes,0%,0,0,t
public.idx_inventory_counts_ingredient,8192 bytes,100%,293,0,f
public.recipe_production_log_pkey,8192 bytes,0%,0,0,t
public.social_hashtag_sets_pkey,8192 bytes,0%,0,0,t
public.prospect_stage_history_pkey,8192 bytes,0%,0,0,t
public.idx_social_posts_tenant_hot_swap,8192 bytes,100%,17,0,f
public.idx_event_guests_guest_token,8192 bytes,0%,0,0,t
public.chef_documents_pkey,8192 bytes,100%,1,0,f
public.uq_client_connection,8192 bytes,0%,0,0,t
public.idx_automation_executions_idempotency,8192 bytes,0%,0,0,t
public.chef_post_comments_pkey,8192 bytes,0%,0,0,t
public.idx_admin_time_chef_date,8192 bytes,100%,8,0,f
public.hub_group_events_pkey,8192 bytes,0%,0,0,t
public.idx_settlement_tenant_date,8192 bytes,100%,29,0,f
public.idx_campaign_recipients_pending_drafts,8192 bytes,0%,0,0,t
public.chef_budgets_chef_id_month_category_key,8192 bytes,0%,0,0,t
public.cr_bounced_idx,8192 bytes,0%,0,0,t
public.tax_quarterly_estimates_pkey,8192 bytes,0%,0,0,t
public.idx_commerce_dining_checks_tenant_status,8192 bytes,100%,17,0,f
public.contractor_payments_pkey,8192 bytes,0%,0,0,t
public.client_invitations_token_key,8192 bytes,0%,0,0,t
public.idx_mileage_event,8192 bytes,100%,12,0,f
public.idx_webhook_events_provider_received,8192 bytes,100%,7,0,f
public.idx_qol_metric_events_tenant_created,8192 bytes,100%,17,0,f
public.idx_community_templates_published,8192 bytes,0%,0,0,t
public.idx_stripe_transfers_tenant,8192 bytes,100%,1008,0,f
public.commerce_payments_txn_ref,8192 bytes,0%,0,0,t
public.dop_task_completions_event_id_task_key_key,8192 bytes,0%,0,0,t
public.payroll_records_pkey,8192 bytes,0%,0,0,t
public.idx_guest_visits_chef,8192 bytes,100%,17,0,f
public.idx_conversations_inquiry,8192 bytes,100%,64,0,f
public.idx_dlq_unresolved,8192 bytes,0%,0,0,t
public.idx_sop_completions_sop,8192 bytes,0%,0,0,t
public.idx_webhook_events_received,8192 bytes,0%,0,0,t
public.idx_vendor_document_uploads_vendor_created,8192 bytes,0%,0,0,t
public.hub_pinned_notes_pkey,8192 bytes,0%,0,0,t
public.idx_product_projections_category,8192 bytes,100%,153,0,f
public.idx_commerce_refunds_payment,8192 bytes,0%,0,0,t
public.idx_event_collaborators_status,8192 bytes,100%,1965,0,f
public.idx_modifier_groups_chef,8192 bytes,100%,1,0,f
public.event_cannabis_course_config_event_course_unique,8192 bytes,0%,0,0,t
public.idx_integration_sync_jobs_tenant_provider,8192 bytes,100%,17,0,f
public.idx_ingredients_tenant_id,8192 bytes,0%,0,0,t
public.idx_menu_approvals_client,8192 bytes,100%,1,0,f
public.idx_receipt_line_items_extraction_id,8192 bytes,0%,0,0,t
public.idx_prep_blocks_event,8192 bytes,100%,18,0,f
public.social_platform_credentials_tenant_idx,8192 bytes,100%,970,0,f
public.idx_tip_distributions_staff,8192 bytes,0%,0,0,t
public.shift_templates_pkey,8192 bytes,0%,0,0,t
public.event_cannabis_course_config_pkey,8192 bytes,0%,0,0,t
public.event_guest_dietary_items_pkey,8192 bytes,0%,0,0,t
public.idx_event_guest_rsvp_audit_event,8192 bytes,0%,0,0,t
public.idx_event_equipment_rentals_chef_status,8192 bytes,0%,0,0,t
public.idx_sops_tenant,8192 bytes,0%,0,0,t
public.purchase_orders_pkey,8192 bytes,0%,0,0,t
public.after_action_reviews_pkey,8192 bytes,0%,0,0,t
public.idx_remy_action_audit_log_tenant_task_type,8192 bytes,100%,788,0,f
public.idx_plating_guides_chef_id,8192 bytes,100%,1,0,f
public.idx_reorder_settings_chef,8192 bytes,100%,1,0,f
public.idx_guest_communication_logs_event,8192 bytes,100%,67,0,f
public.idx_event_collaborators_pending,8192 bytes,100%,4788,0,f
public.document_versions_pkey,8192 bytes,0%,0,0,t
public.idx_devices_tenant_status,8192 bytes,100%,18,0,f
public.tax_collected_pkey,8192 bytes,0%,0,0,t
public.competitor_benchmarks_pkey,8192 bytes,0%,0,0,t
public.idx_external_review_sources_tenant_active,8192 bytes,100%,1226,0,f
public.idx_client_photos_tenant,8192 bytes,0%,0,0,t
public.chef_social_notifications_pkey,8192 bytes,0%,0,0,t
public.equipment_depreciation_schedules_equipment_item_id_tax_year_key,8192 bytes,0%,0,0,t
public.idx_receipt_line_items_event_id,8192 bytes,100%,12,0,f
public.idx_leftover_event,8192 bytes,0%,0,0,t
public.event_alcohol_logs_event_id_key,8192 bytes,0%,0,0,t
public.idx_vendor_invoices_chef,8192 bytes,100%,1421,0,f
public.idx_chef_social_posts_created_at,8192 bytes,100%,2,0,f
public.product_modifier_assignments_product_id_modifier_group_id_key,8192 bytes,0%,0,0,t
public.raffle_entries_daily_unique,8192 bytes,0%,0,0,t
public.idx_inventory_transactions_sale,8192 bytes,0%,0,0,t
public.idx_referral_req_sent_at,8192 bytes,0%,0,0,t
public.product_modifier_assignments_pkey,8192 bytes,0%,0,0,t
public.event_site_assessments_pkey,8192 bytes,0%,0,0,t
public.idx_raffle_rounds_tenant_status,8192 bytes,0%,0,0,t
public.idx_product_projections_sku,8192 bytes,0%,0,0,t
public.workflow_steps_template_id_step_order_key,8192 bytes,0%,0,0,t
public.idx_goal_check_ins_tenant_goal,8192 bytes,100%,17,0,f
public.idx_external_reviews_source,8192 bytes,0%,0,0,t
public.hub_availability_responses_pkey,8192 bytes,0%,0,0,t
public.chef_culinary_words_pkey,8192 bytes,0%,0,0,t
public.chef_comment_reactions_pkey,8192 bytes,0%,0,0,t
public.idx_qr_scans_scanned_at,8192 bytes,0%,0,0,t
public.gift_cards_tenant_id_code_key,8192 bytes,0%,0,0,t
public.mileage_logs_pkey,8192 bytes,0%,0,0,t
public.idx_events_is_demo,8192 bytes,0%,0,0,t
public.idx_kds_tickets_chef_active,8192 bytes,0%,0,0,t
public.platform_fee_ledger_transaction_reference_key,8192 bytes,0%,0,0,t
public.idx_chef_post_saves_chef,8192 bytes,100%,22,0,f
public.idx_remy_action_audit_log_tenant_created,8192 bytes,0%,0,0,t
public.idx_tax_filings_tenant,8192 bytes,0%,0,0,t
public.idx_prospects_chef_status,8192 bytes,0%,0,0,t
public.idx_modifier_assignments_product,8192 bytes,0%,0,0,t
public.idx_client_incentives_target_client,8192 bytes,100%,1,0,f
public.idx_chef_incidents_event,8192 bytes,100%,12,0,f
public.idx_workflow_executions_pending,8192 bytes,0%,0,0,t
public.idx_grocery_quotes_tenant_accuracy,8192 bytes,0%,0,0,t
public.chef_availability_blocks_pkey,8192 bytes,0%,0,0,t
public.idx_guest_leads_event,8192 bytes,100%,79,0,f
public.public_ingredient_references_pkey,8192 bytes,0%,0,0,t
public.dish_feedback_pkey,8192 bytes,100%,1,0,f
public.idx_guest_testimonials_tenant,8192 bytes,100%,1154,0,f
public.idx_ledger_entries_transaction_reference_unique,8192 bytes,100%,6,0,f
public.idx_chef_story_views_viewer,8192 bytes,100%,13,0,f
public.idx_contractor_payments_staff,8192 bytes,100%,8,0,f
public.idx_pos_alert_events_open_dedupe,8192 bytes,0%,0,0,t
public.idx_daily_specials_recipe,8192 bytes,0%,0,0,t
public.idx_chef_documents_type,8192 bytes,100%,23,0,f
public.social_oauth_states_state_idx,8192 bytes,0%,0,0,t
public.idx_commlog_tenant_client_created,8192 bytes,0%,0,0,t
public.idx_price_points_ingredient,8192 bytes,0%,0,0,t
public.chef_handoff_events_pkey,8192 bytes,0%,0,0,t
public.idx_hub_polls_group,8192 bytes,0%,0,0,t
public.event_sales_tax_pkey,8192 bytes,0%,0,0,t
public.idx_event_live_status_tenant,8192 bytes,0%,0,0,t
public.idx_loyalty_transactions_tenant_client,8192 bytes,100%,1271,0,f
public.daily_reports_pkey,8192 bytes,0%,0,0,t
public.idx_recipe_shares_to_chef,8192 bytes,100%,1005,0,f
public.idx_container_transactions_chef,8192 bytes,100%,1,0,f
public.idx_truck_schedule_tenant,8192 bytes,0%,0,0,t
public.chef_social_posts_pkey,8192 bytes,0%,0,0,t
public.idx_prod_log_expiry,8192 bytes,0%,0,0,t
public.idx_client_referrals_referred,8192 bytes,0%,0,0,t
public.idx_packing_confirmations_event,8192 bytes,100%,12,0,f
public.vendor_document_uploads_pkey,8192 bytes,0%,0,0,t
public.idx_proposal_templates_chef,8192 bytes,100%,1299,0,f
public.chef_education_log_pkey,8192 bytes,0%,0,0,t
public.idx_clipboard_entries_station_date,8192 bytes,0%,0,0,t
public.guest_event_profile_guest_token_key,8192 bytes,0%,0,0,t
public.idx_upload_jobs_hash,8192 bytes,0%,0,0,t
public.guest_reservations_pkey,8192 bytes,0%,0,0,t
public.hub_availability_responses_availability_id_profile_id_respo_key,8192 bytes,0%,0,0,t
public.idx_inquiry_notes_inquiry_id,8192 bytes,100%,62,0,f
public.idx_commerce_promotions_tenant_code,8192 bytes,0%,0,0,t
public.idx_ingredients_tenant_name,8192 bytes,100%,2432,0,f
public.handoff_recipient_unique,8192 bytes,0%,0,0,t
public.grocery_price_quotes_event_idx,8192 bytes,100%,202,0,f
public.idx_event_shares_tenant_id,8192 bytes,100%,489,0,f
public.vendor_items_vendor_id_vendor_sku_key,8192 bytes,0%,0,0,t
public.idx_ccp_snapshots_tenant_event,8192 bytes,100%,17,0,f
public.idx_gc_txn_tenant,8192 bytes,0%,0,0,t
public.email_sender_reputation_pkey,8192 bytes,0%,0,0,t
public.idx_inv_tx_chef_type,8192 bytes,0%,0,0,t
public.chef_todos_chef_order_idx,8192 bytes,100%,12965,0,f
public.idx_smart_field_values_chef,8192 bytes,100%,15,0,f
public.idx_clients_account_deletion_scheduled_for,8192 bytes,0%,0,0,t
public.social_platform_credentials_active_idx,8192 bytes,0%,0,0,t
public.response_templates_pkey,8192 bytes,0%,0,0,t
public.cash_drawer_movements_commerce_refund_id_key,8192 bytes,0%,0,0,t
public.idx_inv_tx_audit,8192 bytes,0%,0,0,t
public.idx_event_contract_versions_contract,8192 bytes,0%,0,0,t
public.social_post_assets_pkey,8192 bytes,0%,0,0,t
public.conversation_participants_conversation_id_auth_user_id_key,8192 bytes,0%,0,0,t
public.chef_post_reactions_post_id_chef_id_key,8192 bytes,0%,0,0,t
public.idx_public_weather_risk_snapshots_coords,8192 bytes,0%,0,0,t
public.idx_handoffs_status,8192 bytes,0%,0,0,t
public.goal_snapshots_unique_goal_date,8192 bytes,0%,0,0,t
public.profile_highlights_pkey,8192 bytes,0%,0,0,t
public.idx_remy_abuse_log_unreviewed,8192 bytes,0%,0,0,t
public.idx_event_service_sessions_series_date,8192 bytes,0%,0,0,t
public.hub_guest_friends_pkey,8192 bytes,0%,0,0,t
public.idx_inquiry_recipe_links_recipe_id,8192 bytes,100%,36,0,f
public.cannabis_control_packet_snapshots_pkey,8192 bytes,0%,0,0,t
public.idx_newsletter_subscribers_email,8192 bytes,0%,0,0,t
public.chef_budgets_pkey,8192 bytes,0%,0,0,t
public.quotes_negotiation_idx,8192 bytes,0%,0,0,t
public.idx_shopping_lists_chef_id,8192 bytes,0%,0,0,t
public.idx_fermentation_logs_tenant_start,8192 bytes,100%,3,0,f
public.idx_goal_client_suggestions_tenant_goal,8192 bytes,100%,17,0,f
public.hub_chef_recommendations_pkey,8192 bytes,0%,0,0,t
public.idx_chef_budgets_chef_month,8192 bytes,100%,1,0,f
public.chef_profiles_chef_id_key,8192 bytes,0%,0,0,t
public.idx_clipboard_entries_86,8192 bytes,100%,28,0,f
public.idx_po_items_po,8192 bytes,0%,0,0,t
public.idx_event_contingency_event,8192 bytes,100%,12,0,f
public.idx_prod_log_recipe,8192 bytes,100%,24,0,f
public.idx_container_transactions_client,8192 bytes,0%,0,0,t
public.idx_vendor_invoices_vendor,8192 bytes,0%,0,0,t
public.commerce_payments_pkey,8192 bytes,0%,0,0,t
public.vendors_pkey,8192 bytes,0%,0,0,t
public.stocktake_items_pkey,8192 bytes,0%,0,0,t
public.meal_prep_programs_pkey,8192 bytes,0%,0,0,t
public.chef_channel_memberships_channel_id_chef_id_key,8192 bytes,100%,14,0,f
public.staff_onboarding_items_pkey,8192 bytes,0%,0,0,t
public.idx_retainer_periods_retainer,8192 bytes,0%,0,0,t
public.idx_integration_events_tenant_provider,8192 bytes,100%,89,0,f
public.idx_feedback_requests_entity,8192 bytes,0%,0,0,t
public.idx_rih_client,8192 bytes,0%,0,0,t
public.idx_guest_messages_tenant,8192 bytes,100%,468,0,f
public.idx_equip_checklist_event,8192 bytes,0%,0,0,t
public.idx_custom_field_definitions_tenant_entity,8192 bytes,100%,21,0,f
public.idx_kitchen_rentals_event,8192 bytes,100%,12,0,f
public.idx_prod_log_tenant,8192 bytes,100%,18,0,f
public.idx_truck_schedule_location,8192 bytes,0%,0,0,t
public.platform_fee_ledger_pkey,8192 bytes,0%,0,0,t
public.idx_partner_images_location,8192 bytes,100%,225,0,f
public.event_join_requests_pkey,8192 bytes,0%,0,0,t
public.idx_commerce_payments_sale,8192 bytes,0%,0,0,t
public.chef_availability_signals_pkey,8192 bytes,0%,0,0,t
public.idx_chat_messages_conversation_active,8192 bytes,0%,0,0,t
public.waitlist_entries_pkey,8192 bytes,0%,0,0,t
public.idx_workflow_execution_log_exec,8192 bytes,0%,0,0,t
public.benchmark_snapshots_chef_id_snapshot_date_key,8192 bytes,0%,0,0,t
public.idx_travel_legs_chef_id,8192 bytes,100%,17,0,f
public.qr_codes_short_code_key,8192 bytes,0%,0,0,t
public.idx_prospects_chef_category,8192 bytes,0%,0,0,t
public.client_segments_pkey,8192 bytes,0%,0,0,t
public.recipe_nutrition_chef_id_recipe_id_key,8192 bytes,0%,0,0,t
public.daily_tax_summary_pkey,8192 bytes,0%,0,0,t
public.webhook_deliveries_pkey,8192 bytes,0%,0,0,t
public.event_service_sessions_pkey,8192 bytes,0%,0,0,t
public.inquiry_recipe_links_inquiry_id_recipe_id_key,8192 bytes,0%,0,0,t
public.idx_chefs_stripe_customer_id,8192 bytes,0%,0,0,t
public.idx_dish_index_signature,8192 bytes,0%,0,0,t
public.idx_chef_journal_media_tenant_type,8192 bytes,100%,6562,0,f
public.idx_admin_audit_log_action_type,8192 bytes,0%,0,0,t
public.idx_client_tags_tag,8192 bytes,100%,400,0,f
public.idx_commerce_payments_settlement,8192 bytes,0%,0,0,t
public.conversations_pkey,8192 bytes,100%,7,0,f
public.idx_clients_recurring_pricing_model,8192 bytes,0%,0,0,t
public.idx_daily_recon_tenant_date,8192 bytes,100%,2037,0,f
public.dietary_confirmations_event_client_unique,8192 bytes,100%,26,0,f
public.chef_daily_briefings_chef_id_briefing_date_key,8192 bytes,0%,0,0,t
public.idx_device_events_device,8192 bytes,0%,0,0,t
public.idx_integration_events_pending,8192 bytes,0%,0,0,t
public.gift_card_purchase_intents_pkey,8192 bytes,0%,0,0,t
public.contract_templates_pkey,8192 bytes,0%,0,0,t
public.idx_event_prep_steps_status,8192 bytes,0%,0,0,t
public.guest_tags_pkey,8192 bytes,0%,0,0,t
public.idx_shopping_substitutions_tenant,8192 bytes,100%,490,0,f
public.partner_images_pkey,8192 bytes,0%,0,0,t
public.idx_shopping_lists_event_id,8192 bytes,100%,9,0,f
public.storage_locations_pkey,8192 bytes,0%,0,0,t
public.idx_dop_task_completions_event,8192 bytes,100%,12,0,f
public.idx_unused_ingredients_expiry,8192 bytes,0%,0,0,t
public.idx_station_components_menu_item,8192 bytes,0%,0,0,t
public.idx_guest_event_profile_guest_token,8192 bytes,0%,0,0,t
public.idx_chef_journey_entries_tenant_journey_date,8192 bytes,0%,0,0,t
public.vendor_preferred_ingredients_pkey,8192 bytes,0%,0,0,t
public.idx_chef_culinary_profiles_chef,8192 bytes,100%,2530,0,f
public.idx_travel_leg_ingredients_event,8192 bytes,100%,37,0,f
public.idx_compliance_cleaning_area,8192 bytes,0%,0,0,t
public.idx_chef_documents_storage_path,8192 bytes,0%,0,0,t
public.device_sessions_pkey,8192 bytes,0%,0,0,t
public.idx_workflow_executions_chef,8192 bytes,0%,0,0,t
public.dish_appearances_pkey,8192 bytes,0%,0,0,t
public.idx_equipment_chef_category,8192 bytes,0%,0,0,t
public.copilot_actions_pkey,8192 bytes,100%,1,0,f
public.idx_capability_type,8192 bytes,100%,18,0,f
public.idx_handoffs_from_chef,8192 bytes,100%,384,0,f
public.idx_system_ingredients_category,8192 bytes,0%,0,0,t
public.guest_tags_guest_id_tag_key,8192 bytes,0%,0,0,t
public.idx_event_contingency_chef,8192 bytes,100%,17,0,f
public.incentive_deliveries_pkey,8192 bytes,0%,0,0,t
public.idx_event_guest_rsvp_audit_critical,8192 bytes,0%,0,0,t
public.idx_creative_date,8192 bytes,100%,20,0,f
public.idx_chef_journeys_tenant_dates,8192 bytes,100%,13501,0,f
public.idx_ingredients_archived,8192 bytes,0%,0,0,t
public.chef_creative_projects_pkey,8192 bytes,0%,0,0,t
public.inquiry_notes_pkey,8192 bytes,0%,0,0,t
public.chef_scheduling_rules_tenant_id_key,8192 bytes,0%,0,0,t
public.idx_guest_leads_tenant,8192 bytes,0%,0,0,t
public.idx_contractor_agreements_member,8192 bytes,100%,10,0,f
public.idx_vendor_deliveries_status,8192 bytes,100%,5,0,f
public.menu_preferences_pkey,8192 bytes,0%,0,0,t
public.idx_hub_poll_votes_option,8192 bytes,0%,0,0,t
public.chef_post_mentions_pkey,8192 bytes,0%,0,0,t
public.dietary_confirmations_pkey,8192 bytes,0%,0,0,t
public.idx_sequence_steps_seq,8192 bytes,0%,0,0,t
public.idx_client_meal_requests_week,8192 bytes,0%,0,0,t
public.idx_chef_feedback_client,8192 bytes,100%,1,0,f
public.idx_kitchen_rentals_chef,8192 bytes,100%,17,0,f
public.idx_chef_certs_type,8192 bytes,100%,28,0,f
public.idx_price_points_vendor,8192 bytes,0%,0,0,t
public.social_platform_credentials_unique,8192 bytes,0%,0,0,t
public.idx_charity_hours_place_id,8192 bytes,0%,0,0,t
public.idx_shift_logs_station,8192 bytes,0%,0,0,t
public.commerce_payment_schedules_pkey,8192 bytes,0%,0,0,t
public.idx_client_connections_b,8192 bytes,100%,202,0,f
public.idx_rsvp_reminder_log_unique,8192 bytes,0%,0,0,t
public.idx_staff_meals_chef,8192 bytes,100%,17,0,f
public.display_case_items_pkey,8192 bytes,0%,0,0,t
public.permits_pkey,8192 bytes,0%,0,0,t
public.idx_vendor_deliveries_vendor,8192 bytes,0%,0,0,t
public.idx_scheduled_shifts_staff_date,8192 bytes,0%,0,0,t
public.idx_vendor_invoice_line_items_chef,8192 bytes,100%,17,0,f
public.idx_quote_line_items_tenant,8192 bytes,0%,0,0,t
public.prospect_call_scripts_pkey,8192 bytes,0%,0,0,t
public.social_oauth_states_pkey,8192 bytes,0%,0,0,t
public.guest_messages_pkey,8192 bytes,0%,0,0,t
public.chef_certifications_pkey,8192 bytes,0%,0,0,t
public.idx_audits_chef_date,8192 bytes,100%,17,0,f
public.idx_lrr_client_status,8192 bytes,100%,41,0,f
public.integration_field_mappings_pkey,8192 bytes,0%,0,0,t
public.idx_po_chef_status,8192 bytes,100%,17,0,f
public.idx_event_prep_steps_event_id,8192 bytes,100%,26,0,f
public.chef_stories_pkey,8192 bytes,0%,0,0,t
public.idx_commerce_dining_zones_tenant_name,8192 bytes,100%,22,0,f
public.client_preference_patterns_pkey,8192 bytes,0%,0,0,t
public.client_connections_pkey,8192 bytes,100%,1,0,f
public.idx_availability_token,8192 bytes,100%,23,0,f
public.chef_crisis_plans_pkey,8192 bytes,0%,0,0,t
public.prospect_outreach_log_pkey,8192 bytes,0%,0,0,t
public.idx_truck_preorders_tenant_date,8192 bytes,0%,0,0,t
public.inventory_audits_pkey,8192 bytes,0%,0,0,t
public.idx_automation_rules_tenant,8192 bytes,100%,926,0,f
public.idx_remy_support_shares_tenant,8192 bytes,100%,17,0,f
public.idx_receipt_line_items_tenant_id,8192 bytes,100%,17,0,f
public.idx_platform_fee_ledger_tenant,8192 bytes,100%,17,0,f
public.idx_event_live_status_event,8192 bytes,0%,0,0,t
public.idx_integration_entity_links_local,8192 bytes,100%,17,0,f
public.workflow_execution_log_pkey,8192 bytes,0%,0,0,t
public.idx_favorite_chefs_chef,8192 bytes,100%,2603,0,f
public.idx_inventory_counts_chef,8192 bytes,0%,0,0,t
public.chef_journey_ideas_pkey,8192 bytes,100%,1,0,f
public.client_meal_requests_pkey,8192 bytes,0%,0,0,t
public.employees_pkey,8192 bytes,0%,0,0,t
public.idx_events_partner_location,8192 bytes,100%,231,0,f
public.proposal_tokens_token_key,8192 bytes,0%,0,0,t
public.idx_sales_channel,8192 bytes,0%,0,0,t
public.idx_direct_outreach_chef,8192 bytes,100%,17,0,f
public.dop_task_completions_pkey,8192 bytes,100%,1,0,f
public.idx_audit_items_audit,8192 bytes,0%,0,0,t
public.idx_automation_rules_trigger,8192 bytes,100%,2,0,f
public.idx_event_share_invites_token_unique,8192 bytes,100%,10,0,f
public.dish_variations_parent_dish_id_variant_dish_id_key,8192 bytes,0%,0,0,t
public.client_incentives_pkey,8192 bytes,0%,0,0,t
public.event_document_snapshots_pkey,8192 bytes,0%,0,0,t
public.idx_sales_event,8192 bytes,0%,0,0,t
public.idx_chef_channel_memberships_channel,8192 bytes,0%,0,0,t
public.idx_event_guests_event_id,8192 bytes,100%,715,0,f
public.chef_follows_pkey,8192 bytes,0%,0,0,t
public.idx_beverages_type,8192 bytes,100%,4,0,f
public.idx_remy_approval_policies_tenant_task,8192 bytes,0%,0,0,t
public.idx_staff_meals_event,8192 bytes,100%,12,0,f
public.remy_support_shares_pkey,8192 bytes,0%,0,0,t
public.idx_hub_media_event,8192 bytes,0%,0,0,t
public.idx_retainers_tenant_status,8192 bytes,0%,0,0,t
public.idx_daily_specials_chef_recurring,8192 bytes,100%,1,0,f
public.idx_equipment_rentals_event,8192 bytes,100%,12,0,f
public.idx_sms_messages_entity,8192 bytes,0%,0,0,t
public.idx_copilot_recommendations_tenant_status,8192 bytes,100%,17,0,f
public.idx_certifications_chef,8192 bytes,0%,0,0,t
public.idx_sales_tax_settings_chef,8192 bytes,100%,21,0,f
public.workflow_steps_pkey,8192 bytes,0%,0,0,t
public.feedback_requests_pkey,8192 bytes,0%,0,0,t
public.idx_recurring_invoices_chef,8192 bytes,100%,51,0,f
